"Sheet","Severity","Excluded","Type","Description","Details"
"/ (rcbus-ymf262.kicad_sch)","warning","False","lib_symbol_mismatch","Symbol 'CXO_DIP-8-14' doesn't match copy in library 'electrified'","@(0.9906 mm, 1.8796 mm): Symbol X1 [CXO_DIP-8-14]"
"/ (rcbus-ymf262.kicad_sch)","warning","False","multiple_net_names","Both GND and GNDA are attached to the same items; GND will be used in the netlist","@(0.5588 mm, 1.6383 mm): Symbol #PWR02 Pin 1 [Power input, Line];@(1.5367 mm, 2.5781 mm): Symbol #PWR019 Pin 1 [Power input, Line]"
